[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 150] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [100, 350] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [350, 400] [350, 350] [350, 400] [350, 450] [400, 450] [400, 500] [450, 500] [450, 450] [500, 450] [500, 500] [500, 450] [500, 400] [500, 350] [500, 300] 
[250, 250] [250, 300] [250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 250] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [100, 350] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [350, 500] [400, 500] [400, 450] [400, 400] [400, 350] [400, 300] [400, 350] [400, 400] [400, 450] [450, 450] [500, 450] [500, 400] [500, 350] [500, 300] 
[250, 250] [200, 250] [150, 250] [150, 200] [150, 250] [200, 250] [200, 300] [250, 300] [250, 250] [300, 250] [300, 200] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [0, 150] [0, 100] [0, 50] [0, 0] [0, 50] [50, 50] [50, 100] [50, 150] [50, 200] [50, 250] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [400, 450] [400, 400] [400, 450] [400, 500] 
[250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [200, 250] [250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [350, 0] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [400, 400] [350, 400] [350, 450] [300, 450] [350, 450] [350, 500] [350, 450] [300, 450] [250, 450] [200, 450] [200, 400] 
[250, 250] [200, 250] [150, 250] [150, 200] [150, 250] [200, 250] [200, 300] [200, 250] [250, 250] [300, 250] [300, 200] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 100] [0, 100] [0, 50] [0, 100] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [350, 500] [350, 450] [350, 400] [400, 400] [400, 350] [400, 300] [400, 350] [400, 400] 
[250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 150] [0, 150] [50, 150] [100, 150] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [350, 0] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [500, 500] [450, 500] [400, 500] [350, 500] [350, 450] [300, 450] [300, 400] [350, 400] [400, 400] [400, 350] [400, 300] [400, 350] [350, 350] [350, 400] [300, 400] [300, 450] [250, 450] 
[250, 250] [300, 250] [300, 200] [300, 150] [300, 200] [300, 250] [250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 250] [50, 200] [50, 150] [100, 150] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [350, 0] [350, 50] [400, 50] [400, 100] [400, 150] [400, 200] [400, 150] [400, 100] [400, 50] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [400, 400] 
[250, 250] [300, 250] [250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [100, 350] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [350, 400] [350, 350] [350, 400] [350, 450] [350, 500] [400, 500] [450, 500] [500, 500] [500, 450] [500, 400] [500, 350] [500, 300] [500, 250] [500, 200] [500, 150] [500, 100] [500, 50] [500, 0] [450, 0] [400, 0] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [350, 450] [350, 400] [400, 400] [400, 450] [400, 500] [350, 500] [400, 500] [450, 500] [500, 500] [500, 450] [500, 400] [500, 350] [500, 300] [500, 250] [500, 200] [500, 150] [500, 100] [500, 50] [500, 0] 
[250, 250] [200, 250] [150, 250] [150, 200] [150, 250] [200, 250] [250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 250] [0, 250] [0, 200] [0, 150] [0, 100] [0, 50] [0, 0] [0, 50] [50, 50] [50, 100] [50, 150] [100, 150] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [300, 50] [350, 50] [350, 0] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [300, 400] [350, 400] [350, 350] [400, 350] [400, 400] [400, 450] [350, 450] [350, 500] [400, 500] [450, 500] [450, 450] [500, 450] [500, 400] [500, 350] [500, 300] [500, 250] [500, 200] [500, 150] [500, 100] 
[250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [350, 0] [400, 0] [400, 50] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [400, 500] [350, 500] [350, 450] [300, 450] [250, 450] [200, 450] [200, 400] [150, 400] [100, 400] [100, 450] [100, 500] [50, 500] [0, 500] [0, 450] [0, 400] [0, 350] [0, 300] [0, 250] [50, 250] [50, 200] [50, 150] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [300, 50] [350, 50] [400, 50] [400, 100] [400, 150] [400, 200] [400, 150] [400, 100] [400, 50] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [350, 450] [300, 450] [250, 450] [200, 450] [200, 400] [150, 400] [100, 400] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [300, 50] [350, 50] [400, 50] [400, 100] [400, 150] [400, 200] [400, 150] [400, 100] [400, 50] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [400, 500] [350, 500] [350, 450] [300, 450] [250, 450] [200, 450] [200, 400] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 100] [0, 100] [0, 50] [0, 100] [0, 150] [0, 200] [0, 250] [50, 250] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [100, 350] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [300, 400] [350, 400] [400, 400] [400, 450] [450, 450] [500, 450] [500, 400] [500, 350] [500, 300] [500, 250] [500, 200] 
[250, 250] [300, 250] [250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [350, 0] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [450, 450] [400, 450] [400, 400] [400, 450] [350, 450] [350, 400] [300, 400] [300, 450] [250, 450] [200, 450] [200, 400] [150, 400] [100, 400] [100, 450] [100, 500] [50, 500] [0, 500] [0, 450] [0, 400] [0, 350] [0, 300] [0, 250] [50, 250] 
[250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 200] [50, 250] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [300, 400] [350, 400] [350, 450] [350, 500] [400, 500] [400, 450] [400, 400] [400, 350] [400, 300] [400, 350] [400, 400] [400, 450] [450, 450] [500, 450] [500, 400] [500, 350] [500, 300] [500, 250] [500, 200] 
[250, 250] [250, 300] [200, 300] [200, 250] [250, 250] [300, 250] [300, 200] [300, 150] [250, 150] [300, 150] [300, 200] [300, 250] [250, 250] [200, 250] [150, 250] [150, 200] [150, 150] [100, 150] [50, 150] [50, 100] [0, 100] [0, 50] [50, 50] [0, 50] [0, 0] [0, 50] [0, 100] [0, 150] [0, 200] [0, 250] [0, 300] [0, 350] [0, 400] [0, 450] [0, 500] [50, 500] [100, 500] [100, 450] [100, 400] [150, 400] [200, 400] [200, 450] [250, 450] [300, 450] [300, 400] [350, 400] [350, 350] [350, 400] [400, 400] [400, 450] [450, 450] 
[250, 250] [250, 300] [200, 300] [200, 250] [150, 250] [150, 200] [150, 150] [150, 100] [150, 50] [200, 50] [200, 0] [250, 0] [300, 0] [300, 50] [350, 50] [350, 0] [400, 0] [450, 0] [500, 0] [500, 50] [500, 100] [500, 150] [500, 200] [500, 250] [500, 300] [500, 350] [500, 400] [500, 450] [500, 500] [450, 500] [400, 500] [350, 500] [350, 450] [400, 450] [400, 400] [350, 400] [350, 350] [400, 350] [400, 300] [400, 350] [350, 350] [350, 400] [300, 400] [300, 450] [250, 450] [200, 450] [200, 400] [150, 400] [100, 400] [100, 450] [100, 500] 
